Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:00, 22.48,  0.41,  0.03,  0.92, -9.78,-42.14,-12.08,  1.76, 24.29,-20.27,-87.94,-25.58; 28.04,  0.09, -0.23,  1.09,-22.33,  6.79, 21.07,-11.72,  4.58,-24.66,  7.34, 23.51
Uptime 00:00:00, 22.53,  0.42,  0.11,  0.88, -2.27, 10.32,  4.20,  6.64, 25.30,-20.01,-85.45,-25.06; 28.13,  0.03, -0.22,  1.17, -6.27,  5.36, 11.85,-10.68,  1.48,-25.14,  7.81, 24.97
Uptime 00:00:00, 22.58,  0.54,  0.13,  0.85,-37.19,  8.25,  6.56,  7.15, 32.11,-24.02,-83.37,-24.24; 28.13,  0.18, -0.32,  1.08,  5.90, -3.30, -6.63,-16.20,  9.04,-24.23,  7.06, 24.14
Uptime 00:00:00, 22.62,  0.31, -0.03,  0.86,-29.25, 51.15, 36.14, -1.66, 19.84,-27.10,-75.93,-19.80; 28.22,  0.10, -0.17,  1.07,  9.24,  6.55,-75.66, -9.05,  5.26,-22.82,  7.61, 14.83
Uptime 00:00:00, 22.67,  0.16,  0.28,  0.97,-13.65, 33.35, -0.29, 15.94,  9.21,-27.88,-70.58,-19.83; 28.22,  0.23, -0.05,  0.98, -2.26, 31.55,-55.80, -2.69, 13.42,-22.69, 10.99,  7.97
Uptime 00:00:00, 22.58,  0.29,  0.10,  1.02,-35.51,-25.74, -2.23,  5.32, 15.66,-31.60,-72.66,-20.12; 28.27,  0.04, -0.00,  0.92,-19.46,-43.93,-70.47, -0.07,  2.45,-24.64,  5.30, -0.91
Uptime 00:00:00, 22.62,  0.25,  0.19,  0.98, 17.07, 36.67, 27.75, 10.62, 14.22,-28.70,-67.07,-16.70; 28.27,  0.24,  0.19,  1.09,-47.23, -8.20,-62.12,  9.94, 12.23,-29.64,  3.96, -8.55
Uptime 00:00:00, 22.58,  0.14, -0.27,  1.19,-42.41, -5.10, 75.17,-12.70,  6.66,-33.49,-66.48, -7.46; 28.36,  0.19, -0.01,  0.97,-10.76,-100.52,-197.15, -0.59, 10.86,-30.36, -8.45,-32.80
Uptime 00:00:00, 22.62,  0.05, -0.13,  0.96, -6.06, 11.76,  1.71, -7.73,  3.00,-33.72,-63.77, -7.24; 28.36, -0.16, -0.50,  1.11,  0.63, -8.90,-65.54,-24.23, -7.66,-30.16, -9.22,-40.99
Uptime 00:00:01, 22.58,  0.28, -0.26,  1.21,-11.31,  9.47,-70.70,-11.66, 12.77,-34.65,-61.60,-16.01; 28.36,  0.16, -0.42,  1.26, 20.05, 27.49, 56.20,-18.20,  6.95,-27.48, -5.84,-34.02
Uptime 00:00:01, 22.58,  0.43, -0.14,  0.68,-23.49,  8.70, 56.79, -9.56, 31.78,-36.99,-59.95, -9.02; 28.46,  0.50, -0.38,  0.96, 18.31, 32.68,-23.47,-19.15, 25.82,-25.11, -2.30,-36.91
Uptime 00:00:01, 22.62, -0.11, -0.13,  1.24, 60.14, 40.49,106.44, -6.03, -5.14,-29.00,-53.69,  4.28; 28.46,  0.02, -0.01,  1.34,-34.55,-78.75,-204.14, -0.39,  0.88,-28.84,-11.92,-62.43
Uptime 00:00:01, 22.58, -0.23,  0.01,  0.61,-62.33,-13.60,-32.14,  1.02,-20.17,-35.91,-53.85,  0.33; 28.46, -0.35, -0.53,  1.23, 45.64, 41.63,-14.99,-22.41,-14.54,-23.21, -6.37,-64.27
